Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.431;+32;311;1.698;25.5.2020
Bayern;46.326;+120;354;2.382;25.5.2020
Berlin;6.642;+5;177;191;25.5.2020
Brandenburg;3.214;0;128;154;25.5.2020
Bremen;1.312;+13;192;41;25.5.2020
Hamburg;5.069;+3;275;241;25.5.2020
Hessen;9.770;+8;156;460;25.5.2020
Mecklenburg-Vorpommern;760;0;47;20;25.5.2020
Niedersachsen;11.578;0;145;572;25.5.2020
Nordrhein-Westfalen;37.298;+75;208;1.565;25.5.2020
Rheinland-Pfalz;6.596;+6;161;228;25.5.2020
Saarland;2.716;+3;274;157;25.5.2020
Sachsen;5.231;+10;128;205;25.5.2020
Sachsen-Anhalt;1.694;0;77;54;25.5.2020
Schleswig-Holstein;3.062;0;106;137;25.5.2020
Thüringen;2.871;+14;134;152;25.5.2020
Gesamt;178.570;+289;215;8.257;25.5.2020
