Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;60.721;+668;5.277;1.936;20.10.2020
Bayern;80.880;+1.145;6.685;2.720;20.10.2020
Berlin;21.905;+476;3.102;241;20.10.2020
Brandenburg;5.574;+123;596;174;20.10.2020
Bremen;3.630;+40;520;63;20.10.2020
Hamburg;10.003;+93;742;281;20.10.2020
Hessen;26.558;+782;4.055;584;20.10.2020
Mecklenburg-Vorpommern;1.719;+14;274;21;20.10.2020
Niedersachsen;26.356;+504;2.738;717;20.10.2020
Nordrhein-Westfalen;92.694;+2.150;11.160;1.963;20.10.2020
Rheinland-Pfalz;13.957;+305;1.612;265;20.10.2020
Saarland;4.437;+22;660;177;20.10.2020
Sachsen;10.520;+245;1.633;259;20.10.2020
Sachsen-Anhalt;3.334;+49;346;71;20.10.2020
Schleswig-Holstein;5.879;+165;552;163;20.10.2020
Thüringen;5.000;+87;482;201;20.10.2020
Gesamt;373.167;+6.868;40.434;9.836;20.10.2020
