Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;261.487;1.486;15.806;5.575;11.1.2021
Bayern;356.922;2.428;21.171;7.913;11.1.2021
Berlin;106.190;340;6.849;1.565;11.1.2021
Brandenburg;50.180;649;6.338;1.286;11.1.2021
Bremen;14.365;42;619;223;11.1.2021
Hamburg;40.687;211;2.585;820;11.1.2021
Hessen;150.790;561;10.223;3.513;11.1.2021
Mecklenburg-Vorpommern;14.757;90;2.157;242;11.1.2021
Niedersachsen;120.634;1.101;9.490;2.340;11.1.2021
Nordrhein-Westfalen;429.506;1.796;26.924;7.978;11.1.2021
Rheinland-Pfalz;80.449;610;5.673;1.780;11.1.2021
Saarland;21.900;32;1.655;543;11.1.2021
Sachsen;155.627;1.107;14.652;4.130;11.1.2021
Sachsen-Anhalt;37.300;1.566;4.733;870;11.1.2021
Schleswig-Holstein;28.624;144;2.895;554;11.1.2021
Thüringen;51.606;334;6.746;1.354;11.1.2021
Gesamt;1.921.024;12.497;138.516;40.686;11.1.2021
