Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;293.647;531;8.244;7.063;1.2.2021
Bayern;403.454;1.281;12.070;10.394;1.2.2021
Berlin;119.943;99;3.134;2.278;1.2.2021
Brandenburg;68.335;161;3.116;2.291;1.2.2021
Bremen;15.998;27;567;268;1.2.2021
Hamburg;46.399;135;1.487;1.073;1.2.2021
Hessen;172.056;233;5.780;4.842;1.2.2021
Mecklenburg-Vorpommern;19.937;89;1.458;451;1.2.2021
Niedersachsen;142.733;636;6.063;3.285;1.2.2021
Nordrhein-Westfalen;486.992;1.099;15.494;10.824;1.2.2021
Rheinland-Pfalz;93.044;406;3.355;2.531;1.2.2021
Saarland;25.807;95;1.247;737;1.2.2021
Sachsen;180.210;470;4.924;6.289;1.2.2021
Sachsen-Anhalt;51.620;0;2.883;1.712;1.2.2021
Schleswig-Holstein;36.204;183;2.326;888;1.2.2021
Thüringen;65.592;163;3.437;2.194;1.2.2021
Gesamt;2.221.971;5.608;75.585;57.120;1.2.2021
