Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;155.941;3.159;14.872;2.883;3.12.2020
Bayern;217.949;4.641;22.609;4.057;3.12.2020
Berlin;67.264;958;5.975;618;3.12.2020
Brandenburg;20.261;656;2.373;380;3.12.2020
Bremen;10.425;172;788;129;3.12.2020
Hamburg;25.469;326;1.277;387;3.12.2020
Hessen;90.966;1.520;9.243;1.372;3.12.2020
Mecklenburg-Vorpommern;6.266;150;749;68;3.12.2020
Niedersachsen;73.548;1.014;5.583;1.207;3.12.2020
Nordrhein-Westfalen;272.026;4.957;24.775;3.721;3.12.2020
Rheinland-Pfalz;46.093;924;4.933;592;3.12.2020
Saarland;13.064;180;982;262;3.12.2020
Sachsen;60.919;2.025;10.855;1.083;3.12.2020
Sachsen-Anhalt;13.342;554;2.173;190;3.12.2020
Schleswig-Holstein;14.827;240;1.260;259;3.12.2020
Thüringen;18.429;570;2.960;394;3.12.2020
Gesamt;1.106.789;22.046;111.407;17.602;3.12.2020
