Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;42.119;+177;1.543;1.866;1.9.2020
Bayern;57.485;+266;1.839;2.640;1.9.2020
Berlin;11.266;+77;435;226;1.9.2020
Brandenburg;3.871;+1;50;169;1.9.2020
Bremen;2.002;+9;90;56;1.9.2020
Hamburg;6.262;+12;140;266;1.9.2020
Hessen;15.596;+165;725;532;1.9.2020
Mecklenburg-Vorpommern;1.008;0;11;20;1.9.2020
Niedersachsen;16.795;+54;481;661;1.9.2020
Nordrhein-Westfalen;59.023;+336;1.651;1.812;1.9.2020
Rheinland-Pfalz;9.105;+52;359;243;1.9.2020
Saarland;3.151;-3;67;174;1.9.2020
Sachsen;5.990;+37;137;226;1.9.2020
Sachsen-Anhalt;2.244;+10;48;65;1.9.2020
Schleswig-Holstein;4.045;+16;112;160;1.9.2020
Thüringen;3.637;+9;68;186;1.9.2020
Gesamt;243.599;+1.218;7.756;9.302;1.9.2020
