Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.975;+79;391;1.859;12.8.2020
Bayern;52.182;+236;646;2.627;12.8.2020
Berlin;9.851;+111;410;224;12.8.2020
Brandenburg;3.642;+8;45;169;12.8.2020
Bremen;1.819;+10;29;56;12.8.2020
Hamburg;5.748;+57;222;262;12.8.2020
Hessen;12.876;+61;580;526;12.8.2020
Mecklenburg-Vorpommern;952;+9;55;20;12.8.2020
Niedersachsen;15.122;+66;389;655;12.8.2020
Nordrhein-Westfalen;52.588;+413;2.374;1.765;12.8.2020
Rheinland-Pfalz;7.935;+64;305;239;12.8.2020
Saarland;2.952;+10;55;174;12.8.2020
Sachsen;5.673;+18;96;225;12.8.2020
Sachsen-Anhalt;2.076;+8;35;64;12.8.2020
Schleswig-Holstein;3.675;+55;159;158;12.8.2020
Thüringen;3.453;+21;62;184;12.8.2020
Gesamt;218.519;+1226;5.853;9.207;12.8.2020
