Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;159.013;3.072;14.842;2.919;4.12.2020
Bayern;222.360;4.411;22.443;4.156;4.12.2020
Berlin;68.508;1.244;5.886;641;4.12.2020
Brandenburg;21.123;862;2.563;405;4.12.2020
Bremen;10.499;74;744;132;4.12.2020
Hamburg;25.775;306;1.292;404;4.12.2020
Hessen;92.825;1.859;9.204;1.411;4.12.2020
Mecklenburg-Vorpommern;6.446;180;756;71;4.12.2020
Niedersachsen;74.734;1.186;5.317;1.228;4.12.2020
Nordrhein-Westfalen;276.697;4.671;24.787;3.793;4.12.2020
Rheinland-Pfalz;47.140;1.047;5.020;608;4.12.2020
Saarland;13.212;148;952;262;4.12.2020
Sachsen;63.535;2.616;11.237;1.142;4.12.2020
Sachsen-Anhalt;13.826;484;2.251;194;4.12.2020
Schleswig-Holstein;15.082;255;1.278;263;4.12.2020
Thüringen;19.463;1.034;3.412;405;4.12.2020
Gesamt;1.130.238;23.449;111.984;18.034;4.12.2020
