Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;174.948;4.044;17.790;3.229;10.12.2020
Bayern;243.797;5.355;24.397;4.621;10.12.2020
Berlin;74.552;1.122;6.447;749;10.12.2020
Brandenburg;23.892;519;2.551;444;10.12.2020
Bremen;11.184;211;778;147;10.12.2020
Hamburg;27.696;333;1.925;443;10.12.2020
Hessen;100.900;1.340;9.486;1.601;10.12.2020
Mecklenburg-Vorpommern;7.351;293;1.065;88;10.12.2020
Niedersachsen;80.894;1.707;6.290;1.353;10.12.2020
Nordrhein-Westfalen;298.431;3.691;25.299;4.226;10.12.2020
Rheinland-Pfalz;52.149;964;5.643;759;10.12.2020
Saarland;14.643;231;1.383;287;10.12.2020
Sachsen;75.895;2.128;12.608;1.428;10.12.2020
Sachsen-Anhalt;16.439;607;2.808;242;10.12.2020
Schleswig-Holstein;16.575;298;1.705;276;10.12.2020
Thüringen;22.857;836;4.096;479;10.12.2020
Gesamt;1.242.203;23.679;124.271;20.372;10.12.2020
