Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;40.173;+142;1.479;1.863;24.8.2020
Bayern;55.061;+203;1.853;2.634;24.8.2020
Berlin;10.728;+11;458;226;24.8.2020
Brandenburg;3.787;0;78;169;24.8.2020
Bremen;1.905;+5;60;56;24.8.2020
Hamburg;6.054;+35;139;265;24.8.2020
Hessen;14.657;+70;1.110;528;24.8.2020
Mecklenburg-Vorpommern;994;+2;22;20;24.8.2020
Niedersachsen;16.096;+41;595;660;24.8.2020
Nordrhein-Westfalen;56.916;+132;2.113;1.798;24.8.2020
Rheinland-Pfalz;8.667;+52;462;243;24.8.2020
Saarland;3.076;+5;72;174;24.8.2020
Sachsen;5.824;+4;83;225;24.8.2020
Sachsen-Anhalt;2.180;+1;54;65;24.8.2020
Schleswig-Holstein;3.904;+2;108;160;24.8.2020
Thüringen;3.553;+6;52;186;24.8.2020
Gesamt;233.575;+711;8.738;9.272;24.8.2020
