Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;42.760;+146;1.240;1.865;4.9.2020
Bayern;58.285;+208;1.427;2.641;4.9.2020
Berlin;11.529;+98;459;226;4.9.2020
Brandenburg;3.900;+2;28;169;4.9.2020
Bremen;2.048;+11;92;58;4.9.2020
Hamburg;6.396;+45;192;267;4.9.2020
Hessen;15.830;+54;558;535;4.9.2020
Mecklenburg-Vorpommern;1.019;+4;16;20;4.9.2020
Niedersachsen;17.005;+13;368;665;4.9.2020
Nordrhein-Westfalen;59.677;+150;1.406;1.818;4.9.2020
Rheinland-Pfalz;9.253;+41;343;243;4.9.2020
Saarland;3.170;+2;53;174;4.9.2020
Sachsen;6.065;0;134;225;4.9.2020
Sachsen-Anhalt;2.263;+3;40;66;4.9.2020
Schleswig-Holstein;4.091;0;89;161;4.9.2020
Thüringen;3.657;+5;59;186;4.9.2020
Gesamt;246.948;+782;6.504;9.319;4.9.2020
