Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;70.792;+1.191;9.385;1.977;27.10.2020
Bayern;93.290;+1.721;12.096;2.756;27.10.2020
Berlin;27.024;+930;4.649;251;27.10.2020
Brandenburg;6.599;+84;865;186;27.10.2020
Bremen;4.495;+88;864;66;27.10.2020
Hamburg;11.853;+339;1.546;283;27.10.2020
Hessen;34.200;+1.348;7.512;617;27.10.2020
Mecklenburg-Vorpommern;2.200;+35;471;22;27.10.2020
Niedersachsen;31.038;+562;4.316;733;27.10.2020
Nordrhein-Westfalen;114.194;+3.678;20.968;2.031;27.10.2020
Rheinland-Pfalz;17.090;+541;2.959;268;27.10.2020
Saarland;5.455;+134;986;180;27.10.2020
Sachsen;14.001;+348;2.963;283;27.10.2020
Sachsen-Anhalt;4.166;+172;757;75;27.10.2020
Schleswig-Holstein;6.942;+165;1.063;167;27.10.2020
Thüringen;5.936;+73;920;203;27.10.2020
Gesamt;449.275;+11.409;72.320;10.098;27.10.2020
