Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;212.221;2.361;23.056;3.969;21.12.2020
Bayern;289.760;2.553;28.451;5.692;21.12.2020
Berlin;86.884;320;7.634;1.006;21.12.2020
Brandenburg;32.379;504;4.638;658;21.12.2020
Bremen;12.599;142;889;171;21.12.2020
Hamburg;32.425;309;2.725;547;21.12.2020
Hessen;121.962;1.246;13.149;2.147;21.12.2020
Mecklenburg-Vorpommern;9.796;132;1.551;119;21.12.2020
Niedersachsen;94.996;1.185;8.760;1.648;21.12.2020
Nordrhein-Westfalen;352.719;3.256;33.426;5.245;21.12.2020
Rheinland-Pfalz;63.586;966;6.791;1.062;21.12.2020
Saarland;17.732;212;1.641;360;21.12.2020
Sachsen;107.014;2.270;18.095;2.252;21.12.2020
Sachsen-Anhalt;22.978;458;4.134;392;21.12.2020
Schleswig-Holstein;20.849;157;2.713;324;21.12.2020
Thüringen;32.752;572;6.259;683;21.12.2020
Gesamt;1.510.652;16.643;163.912;26.275;21.12.2020
