Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.057;+55;160;1.802;12.6.2020
Bayern;47.574;+38;289;2.538;12.6.2020
Berlin;7.165;+27;199;208;12.6.2020
Brandenburg;3.306;-46*;25;161;12.6.2020
Bremen;1.573;+8;75;45;12.6.2020
Hamburg;5.134;+9;21;254;12.6.2020
Hessen;10.313;+17;148;489;12.6.2020
Mecklenburg-Vorpommern;780;+2;16;20;12.6.2020
Niedersachsen;12.777;+50;384;610;12.6.2020
Nordrhein-Westfalen;39.060;+77;635;1.643;12.6.2020
Rheinland-Pfalz;6.827;0;67;231;12.6.2020
Saarland;2.769;+3;31;168;12.6.2020
Sachsen;5.344;-2;23;219;12.6.2020
Sachsen-Anhalt;1.732;+4;15;56;12.6.2020
Schleswig-Holstein;3.120;+3;15;148;12.6.2020
Thüringen;3.143;+13;78;171;12.6.2020
Gesamt;185.674;+258;2.181;8.763;12.6.2020
