Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.236;+18;135;1.821;19.6.2020
Bayern;47.799;+52;215;2.562;19.6.2020
Berlin;7.603;+128;370;211;19.6.2020
Brandenburg;3.374;+9;44;163;19.6.2020
Bremen;1.626;+7;53;49;19.6.2020
Hamburg;5.156;+2;17;259;19.6.2020
Hessen;10.503;+63;188;499;19.6.2020
Mecklenburg-Vorpommern;791;+4;11;20;19.6.2020
Niedersachsen;13.097;+34;277;618;19.6.2020
Nordrhein-Westfalen;40.156;+379;1.069;1.660;19.6.2020
Rheinland-Pfalz;6.883;+9;53;234;19.6.2020
Saarland;2.774;+1;8;168;19.6.2020
Sachsen;5.382;+23;39;221;19.6.2020
Sachsen-Anhalt;1.818;+16;84;57;19.6.2020
Schleswig-Holstein;3.131;+9;13;152;19.6.2020
Thüringen;3.205;+16;49;178;19.6.2020
Gesamt;188.534;+770;2.625;8.872;19.6.2020
