Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;297.994;1.245;7.094;7.341;5.2.2021
Bayern;410.005;1.984;10.712;11.023;5.2.2021
Berlin;121.878;479;2.630;2.420;5.2.2021
Brandenburg;70.233;428;2.455;2.539;5.2.2021
Bremen;16.355;129;612;285;5.2.2021
Hamburg;47.191;225;1.175;1.120;5.2.2021
Hessen;175.378;889;5.280;5.114;5.2.2021
Mecklenburg-Vorpommern;20.849;258;1.399;520;5.2.2021
Niedersachsen;146.205;1.567;5.491;3.509;5.2.2021
Nordrhein-Westfalen;495.483;2.814;13.938;11.386;5.2.2021
Rheinland-Pfalz;94.801;499;2.753;2.685;5.2.2021
Saarland;26.500;204;1.158;766;5.2.2021
Sachsen;183.110;777;4.096;6.659;5.2.2021
Sachsen-Anhalt;53.825;467;2.607;1.922;5.2.2021
Schleswig-Holstein;37.359;315;1.945;985;5.2.2021
Thüringen;67.743;628;3.121;2.323;5.2.2021
Gesamt;2.264.909;12.908;66.466;60.597;5.2.2021
