Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;291.818;1.361;8.287;7.013;30.1.2021
Bayern;400.504;1.931;11.957;10.344;30.1.2021
Berlin;119.514;559;3.033;2.238;30.1.2021
Brandenburg;67.836;692;3.403;2.263;30.1.2021
Bremen;15.885;138;561;266;30.1.2021
Hamburg;46.015;439;1.522;1.066;30.1.2021
Hessen;170.883;923;5.712;4.786;30.1.2021
Mecklenburg-Vorpommern;19.682;247;1.559;443;30.1.2021
Niedersachsen;141.085;1.160;5.651;3.253;30.1.2021
Nordrhein-Westfalen;483.456;2.414;15.421;10.717;30.1.2021
Rheinland-Pfalz;91.711;0;2.773;2.450;30.1.2021
Saarland;25.450;218;1.109;731;30.1.2021
Sachsen;179.153;823;5.082;6.254;30.1.2021
Sachsen-Anhalt;51.521;576;3.548;1.705;30.1.2021
Schleswig-Holstein;35.717;291;2.440;853;30.1.2021
Thüringen;64.941;549;3.509;2.164;30.1.2021
Gesamt;2.205.171;12.321;75.567;56.546;30.1.2021
