Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;314.625;1.107;5.420;8.042;26.2.2021
Bayern;433.804;1.440;7.810;12.329;26.2.2021
Berlin;128.234;304;1.926;2.797;26.2.2021
Brandenburg;75.982;333;1.621;2.977;26.2.2021
Bremen;17.790;85;531;333;26.2.2021
Hamburg;51.262;343;1.351;1.257;26.2.2021
Hessen;187.011;723;3.846;5.801;26.2.2021
Mecklenburg-Vorpommern;24.130;192;1.029;727;26.2.2021
Niedersachsen;162.668;1.025;5.208;4.270;26.2.2021
Nordrhein-Westfalen;528.690;1.995;11.469;12.958;26.2.2021
Rheinland-Pfalz;101.435;426;2.167;3.070;26.2.2021
Saarland;28.666;141;651;865;26.2.2021
Sachsen;193.105;706;3.067;7.613;26.2.2021
Sachsen-Anhalt;59.863;383;1.877;2.381;26.2.2021
Schleswig-Holstein;41.989;250;1.476;1.272;26.2.2021
Thüringen;75.430;544;2.585;2.827;26.2.2021
Gesamt;2.424.684;9.997;52.034;69.519;26.2.2021
