Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;42.614;+247;1.426;1.868;3.9.2020
Bayern;58.077;+296;1.626;2.641;3.9.2020
Berlin;11.431;+84;435;226;3.9.2020
Brandenburg;3.898;+23;38;169;3.9.2020
Bremen;2.037;+22;95;58;3.9.2020
Hamburg;6.351;+38;165;267;3.9.2020
Hessen;15.776;+84;627;534;3.9.2020
Mecklenburg-Vorpommern;1.015;+6;14;20;3.9.2020
Niedersachsen;16.992;+104;466;665;3.9.2020
Nordrhein-Westfalen;59.527;+264;1.567;1.819;3.9.2020
Rheinland-Pfalz;9.212;+44;355;243;3.9.2020
Saarland;3.168;+11;65;174;3.9.2020
Sachsen;6.065;+43;159;225;3.9.2020
Sachsen-Anhalt;2.260;+10;42;65;3.9.2020
Schleswig-Holstein;4.091;+27;107;161;3.9.2020
Thüringen;3.652;+8;68;186;3.9.2020
Gesamt;246.166;+1.311;7.255;9.321;3.9.2020
