Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;43.259;+334;1.451;1.865;5.9.2020
Bayern;58.692;+307;1.573;2.641;5.9.2020
Berlin;11.623;+94;448;226;5.9.2020
Brandenburg;3.923;+21;46;169;5.9.2020
Bremen;2.056;+8;79;58;5.9.2020
Hamburg;6.451;+55;210;267;5.9.2020
Hessen;15.978;+66;590;535;5.9.2020
Mecklenburg-Vorpommern;1.023;+4;17;20;5.9.2020
Niedersachsen;17.210;+77;498;665;5.9.2020
Nordrhein-Westfalen;60.085;+274;1.560;1.823;5.9.2020
Rheinland-Pfalz;9.305;+45;299;243;5.9.2020
Saarland;3.189;+13;54;174;5.9.2020
Sachsen;6.138;+43;179;225;5.9.2020
Sachsen-Anhalt;2.274;+11;40;66;5.9.2020
Schleswig-Holstein;4.115;+8;97;161;5.9.2020
Thüringen;3.676;+18;55;186;5.9.2020
Gesamt;248.997;+1.378;7.196;9.324;5.9.2020
