Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;38.162;+187;491;1.859;13.8.2020
Bayern;52.436;+254;784;2.627;13.8.2020
Berlin;9.976;+125;467;224;13.8.2020
Brandenburg;3.651;+9;46;169;13.8.2020
Bremen;1.822;+3;30;56;13.8.2020
Hamburg;5.774;+26;190;262;13.8.2020
Hessen;13.008;+132;597;526;13.8.2020
Mecklenburg-Vorpommern;954;+2;43;20;13.8.2020
Niedersachsen;15.176;+54;364;655;13.8.2020
Nordrhein-Westfalen;53.123;+535;2.460;1.767;13.8.2020
Rheinland-Pfalz;7.974;+39;289;240;13.8.2020
Saarland;2.955;+3;45;174;13.8.2020
Sachsen;5.685;+12;94;225;13.8.2020
Sachsen-Anhalt;2.090;+14;46;64;13.8.2020
Schleswig-Holstein;3.714;+39;181;158;13.8.2020
Thüringen;3.464;+11;62;185;13.8.2020
Gesamt;219.964;+1.445;6.189;9.211;13.8.2020
