Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;39.829;+336;1.261;1.862;22.8.2020
Bayern;54.817;+401;1.864;2.633;22.8.2020
Berlin;10.655;+112;420;226;22.8.2020
Brandenburg;3.784;+26;85;169;22.8.2020
Bremen;1.893;+8;58;56;22.8.2020
Hamburg;6.019;+30;122;265;22.8.2020
Hessen;14.409;+149;972;528;22.8.2020
Mecklenburg-Vorpommern;989;+5;19;20;22.8.2020
Niedersachsen;16.019;+134;595;659;22.8.2020
Nordrhein-Westfalen;56.599;+663;2.293;1.797;22.8.2020
Rheinland-Pfalz;8.602;+88;464;242;22.8.2020
Saarland;3.055;+15;61;174;22.8.2020
Sachsen;5.806;+18;69;225;22.8.2020
Sachsen-Anhalt;2.170;+15;53;65;22.8.2020
Schleswig-Holstein;3.890;+18;114;160;22.8.2020
Thüringen;3.546;+16;48;186;22.8.2020
Gesamt;232.082;+2.034;8.498;9.267;22.8.2020
