Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;52.231;+652;2.291;1.898;8.10.2020
Bayern;71.034;+653;2.372;2.681;8.10.2020
Berlin;16.615;+378;1.687;232;8.10.2020
Brandenburg;4.561;+78;225;169;8.10.2020
Bremen;2.805;+103;337;60;8.10.2020
Hamburg;8.544;+93;500;276;8.10.2020
Hessen;20.662;+307;1.446;557;8.10.2020
Mecklenburg-Vorpommern;1.332;+28;119;20;8.10.2020
Niedersachsen;21.743;+287;1.233;694;8.10.2020
Nordrhein-Westfalen;75.671;+1.056;4.851;1.894;8.10.2020
Rheinland-Pfalz;11.499;+191;667;256;8.10.2020
Saarland;3.499;+10;140;177;8.10.2020
Sachsen;7.797;+118;424;243;8.10.2020
Sachsen-Anhalt;2.815;+41;129;68;8.10.2020
Schleswig-Holstein;5.076;+44;245;162;8.10.2020
Thüringen;4.260;+19;147;191;8.10.2020
Gesamt;310.144;+4.058;16.813;9.578;8.10.2020
