Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.038;+121;435;1.843;29.7.2020
Bayern;50.696;+107;676;2.621;29.7.2020
Berlin;9.071;+51;220;223;29.7.2020
Brandenburg;3.531;+4;22;168;29.7.2020
Bremen;1.758;+6;33;55;29.7.2020
Hamburg;5.338;+12;82;261;29.7.2020
Hessen;11.806;+63;336;518;29.7.2020
Mecklenburg-Vorpommern;849;+4;38;20;29.7.2020
Niedersachsen;14.305;+17;170;649;29.7.2020
Nordrhein-Westfalen;47.965;+225;1.470;1.730;29.7.2020
Rheinland-Pfalz;7.456;+14;89;239;29.7.2020
Saarland;2.857;+5;22;174;29.7.2020
Sachsen;5.525;+7;22;225;29.7.2020
Sachsen-Anhalt;1.997;+6;28;64;29.7.2020
Schleswig-Holstein;3.379;+38;101;156;29.7.2020
Thüringen;3.355;+4;29;182;29.7.2020
Gesamt;206.926;+684;3.773;9.128;29.7.2020
