Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;228.893;1.588;17.773;4.438;27.12.2020
Bayern;311.091;2.440;22.447;6.213;27.12.2020
Berlin;92.981;635;5.773;1.128;27.12.2020
Brandenburg;36.795;581;3.600;781;27.12.2020
Bremen;13.165;31;701;182;27.12.2020
Hamburg;35.110;297;2.565;586;27.12.2020
Hessen;131.434;1.325;10.176;2.484;27.12.2020
Mecklenburg-Vorpommern;10.939;98;1.247;142;27.12.2020
Niedersachsen;102.850;973;7.776;1.778;27.12.2020
Nordrhein-Westfalen;378.105;2.391;27.022;5.964;27.12.2020
Rheinland-Pfalz;68.758;645;5.550;1.257;27.12.2020
Saarland;19.150;28;1.419;406;27.12.2020
Sachsen;122.450;1.390;15.303;2.706;27.12.2020
Sachsen-Anhalt;27.064;495;4.108;509;27.12.2020
Schleswig-Holstein;23.333;239;2.492;366;27.12.2020
Thüringen;38.740;599;6.190;828;27.12.2020
Gesamt;1.640.858;13.755;134.142;29.778;27.12.2020
