Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;40.358;+185;1.450;1.863;25.8.2020
Bayern;55.414;+353;1.835;2.634;25.8.2020
Berlin;10.786;+58;416;226;25.8.2020
Brandenburg;3.795;+8;70;169;25.8.2020
Bremen;1.913;+8;62;56;25.8.2020
Hamburg;6.083;+29;151;265;25.8.2020
Hessen;14.809;+152;1.073;528;25.8.2020
Mecklenburg-Vorpommern;997;+3;21;20;25.8.2020
Niedersachsen;16.191;+95;586;661;25.8.2020
Nordrhein-Westfalen;57.213;+297;2.018;1.802;25.8.2020
Rheinland-Pfalz;8.713;+46;409;243;25.8.2020
Saarland;3.080;+4;69;174;25.8.2020
Sachsen;5.827;+3;74;225;25.8.2020
Sachsen-Anhalt;2.183;+3;53;65;25.8.2020
Schleswig-Holstein;3.927;+23;114;160;25.8.2020
Thüringen;3.564;+11;57;186;25.8.2020
Gesamt;234.853;+1.278;8.458;9.277;25.8.2020
