Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;72.884;+2.092;10.114;1.986;28.10.2020
Bayern;96.420;+3.130;13.758;2.772;28.10.2020
Berlin;28.064;+1.040;4.789;251;28.10.2020
Brandenburg;6.957;+358;1.015;187;28.10.2020
Bremen;4.689;+194;974;66;28.10.2020
Hamburg;12.153;+300;1.620;283;28.10.2020
Hessen;35.688;+1.488;8.123;629;28.10.2020
Mecklenburg-Vorpommern;2.328;+128;503;22;28.10.2020
Niedersachsen;32.244;+1.206;4.938;735;28.10.2020
Nordrhein-Westfalen;117.278;+3.084;21.854;2.059;28.10.2020
Rheinland-Pfalz;17.789;+699;3.288;276;28.10.2020
Saarland;5.576;+121;956;181;28.10.2020
Sachsen;14.409;+408;2.783;292;28.10.2020
Sachsen-Anhalt;4.342;+176;869;74;28.10.2020
Schleswig-Holstein;7.218;+276;1.214;167;28.10.2020
Thüringen;6.200;+264;1.068;203;28.10.2020
Gesamt;464.239;+14.964;77.866;10.183;28.10.2020
