Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;260.001;2.598;15.412;5.530;10.1.2021
Bayern;354.494;2.879;20.474;7.875;10.1.2021
Berlin;105.850;732;6.978;1.560;10.1.2021
Brandenburg;49.531;0*;5.890;1.281;10.1.2021
Bremen;14.323;66;613;222;10.1.2021
Hamburg;40.476;353;2.575;817;10.1.2021
Hessen;150.229;1.366;10.167;3.483;10.1.2021
Mecklenburg-Vorpommern;14.667;238;2.134;239;10.1.2021
Niedersachsen;119.533;1.228;8.768;2.329;10.1.2021
Nordrhein-Westfalen;427.710;3.218;26.937;7.942;10.1.2021
Rheinland-Pfalz;79.839;587;5.426;1.762;10.1.2021
Saarland;21.868;226;1.714;540;10.1.2021
Sachsen;154.520;2.061;14.563;4.064;10.1.2021
Sachsen-Anhalt;35.734;0*;3.574;832;10.1.2021
Schleswig-Holstein;28.480;424;2.956;545;10.1.2021
Thüringen;51.272;970;6.698;1.322;10.1.2021
Gesamt;1.908.527;16.946;134.879;40.343;10.1.2021
