Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;264.735;2.226;14.397;5.758;13.1.2021
Bayern;361.582;2.778;19.390;8.216;13.1.2021
Berlin;108.295;1.069;6.737;1.635;13.1.2021
Brandenburg;52.285;764;5.791;1.361;13.1.2021
Bremen;14.469;86;570;226;13.1.2021
Hamburg;41.350;390;2.210;851;13.1.2021
Hessen;152.844;1.551;9.430;3.716;13.1.2021
Mecklenburg-Vorpommern;15.316;434;1.964;260;13.1.2021
Niedersachsen;122.431;1.328;8.639;2.442;13.1.2021
Nordrhein-Westfalen;435.464;3.657;25.445;8.402;13.1.2021
Rheinland-Pfalz;81.737;698;5.418;1.870;13.1.2021
Saarland;22.279;137;1.741;566;13.1.2021
Sachsen;158.624;1.947;12.395;4.323;13.1.2021
Sachsen-Anhalt;39.233;913;5.096;949;13.1.2021
Schleswig-Holstein;29.250;405;2.734;594;13.1.2021
Thüringen;53.532;1.217;6.916;1.468;13.1.2021
Gesamt;1.953.426;19.600;128.873;42.637;13.1.2021
