Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;47.353;+246;1.690;1.871;22.9.2020
Bayern;65.331;+412;2.636;2.651;22.9.2020
Berlin;13.257;+148;854;227;22.9.2020
Brandenburg;4.101;+11;70;169;22.9.2020
Bremen;2.223;+4;84;59;22.9.2020
Hamburg;7.230;+65;296;269;22.9.2020
Hessen;17.757;+120;748;545;22.9.2020
Mecklenburg-Vorpommern;1.123;+18;57;20;22.9.2020
Niedersachsen;18.964;+64;822;670;22.9.2020
Nordrhein-Westfalen;65.753;+521;2.839;1.848;22.9.2020
Rheinland-Pfalz;10.183;+67;357;248;22.9.2020
Saarland;3.234;0;56;176;22.9.2020
Sachsen;6.774;+82;294;227;22.9.2020
Sachsen-Anhalt;2.457;+4;90;66;22.9.2020
Schleswig-Holstein;4.460;+39;195;161;22.9.2020
Thüringen;3.958;+20;133;189;22.9.2020
Gesamt;274.158;+1.821;11.221;9.396;22.9.2020
